query_id	reference_rbp_id	blast_present	pident	coverage	evalue	bitscore	raw_blast_score	best_blast_outgroup	outgroup_blast_score	effective_blast_score	tree_distance	raw_phylogeny_score	best_phylogeny_outgroup	outgroup_phylogeny_distance	outgroup_phylogeny_score	effective_phylogeny_score	structure_present	foldseek_evalue	foldseek_bits	alntmscore	qtmscore	ttmscore	rmsd	raw_structural_score	best_structural_outgroup	outgroup_structural_score	effective_structural_score	rbp_score
query4|unknown_host|Lactobacillus_phage_ViSo_2018a	pdb_00005efv|Staphylococcus|Bacteriophage_11|Sipho|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	6.185829999999999	0.13916276894944635	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.1087045555876312	yes	0.3309	29.0	0.829	0.2956	0.374	3.336	0.4426254612546125	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.40236252975084463	0.18812115079724567
query4|unknown_host|Lactobacillus_phage_ViSo_2018a	pdb_00006iab|Staphylococcus|Bacteriophage_P68|Sipho|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	6.25928	0.13775470845593502	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.10729649509411987	yes	0.344	30.0	0.6206	0.3086	0.3872	3.639	0.3835927398146152	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.34332980831084736	0.1641560470978689
query4|unknown_host|Lactobacillus_phage_ViSo_2018a	Q858F5|Salmonella|Bacteriophage_epsilon15|Podo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	2.12326	0.32017827526366677	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.2897200619018516	yes	0.2591	28.0	0.3155	0.2976	0.2435	8.154	0.2652983722962639	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.22503544079249604	0.16244419179246133
query4|unknown_host|Lactobacillus_phage_ViSo_2018a	pdb_0000q0pdk6|Bacillus|Bacteriophage_SPP1|Sipho|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	6.84333	0.12749686676449926	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.09703865340268411	yes	0.331	37.0	0.4627	0.3831	0.2969	6.112	0.3584814848143982	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.3182185533106303	0.15154708467492317
query4|unknown_host|Lactobacillus_phage_ViSo_2018a	Q04830|Escherichia|Bacteriophage_K1F|Podo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	4.78782	0.17277662401387742	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.14231841065206227	yes	0.2171	23.0	0.4636	0.2476	0.2007	6.873	0.28828327702273593	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.24802034551896807	0.1347877408706028
query4|unknown_host|Lactobacillus_phage_ViSo_2018a	YP_654148.1|Escherichia|Bacteriophage_K1-5|Podo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	4.73494	0.17436974057269997	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.14391152721088482	yes	0.2606	25.0	0.4061	0.2656	0.2709	6.329	0.28191885250375226	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.2416559209999844	0.13264025020271497
query4|unknown_host|Lactobacillus_phage_ViSo_2018a	pdb_00008xci|Escherichia|Bacteriophage_lambda|Sipho|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	4.94043	0.16833798226727695	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.1378797689054618	yes	0.2198	24.0	0.2601	0.258	0.2049	9.148	0.2267383169097359	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.18647538540596803	0.10906009638875266
query4|unknown_host|Lactobacillus_phage_ViSo_2018a	AUV56907.1|Staphylococcus|Bacteriophage_vB_SauM_LM12|Myo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	5.25209	0.1599465138857566	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.12948830052394145	yes	0.2443	19.0	0.3182	0.1983	0.3176	7.413	0.21838273267562108	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.17811980117185322	0.10361999559972665
query4|unknown_host|Lactobacillus_phage_ViSo_2018a	AEL79676.1|Escherichia|Bacteriophage_vB_EcoP_G7C|Podo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	5.9399	0.1440942953068488	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.11363608194503366	yes	0.2179	23.0	0.279	0.2499	0.2078	9.298	0.2280712468440474	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.18780831534027953	0.10353234662237024
query4|unknown_host|Lactobacillus_phage_ViSo_2018a	YP_009168860.1|Escherichia|Bacteriophage_K1H|Podo|RBP	no	NA	NA	NA	NA	0.0	OUTGROUP_CAPSID_05|Klebsiella_phage_vB_KpnM_KpV477|major_head_protein|YP_009288862.1|OUTGROUP	0.41667000000000004	0.0	5.3339	0.15788061068220213	OUTGROUP_CAPSID_01|Escherichia_phage_T4|major_head_protein|NP_049787.1|OUTGROUP	3.92478	0.2030547557454343	0.127422397320387	yes	0.1975	21.0	0.256	0.2196	0.1927	8.735	0.20714442732408833	OUTGROUP_CAPSID_02|Escherichia_phage_phiC120|major_head_protein|YP_010090013.1|OUTGROUP	0.20131465751883926	0.16688149582032047	0.09860819765822493
